ID,Temperature,Humidity,MQ7_analog,MQ9_analog,MG811_analog,MQ135_analog,device_name,CO2
ID_000001,28.975,74.475,2480.0,3476.5,1572.0,1997.0,alpha,585.75
ID_000002,31.9,66.5,3813.0,2726.0,4145.0,3180.0,alpha,613.0
ID_000003,31.675,60.015,2811.0,1563.5,4250.0,2708.5,alpha,616.5
ID_000004,31.58,59.22,2844.0,1597.0,4310.0,2723.0,alpha,642.5
ID_000005,31.69,62.03,3159.5,1120.5,5519.5,1219.0,alpha,622.0
ID_000006,31.83,66.44999999999999,5521.5,3447.5,5241.0,3027.0,alpha,599.5
ID_000007,31.745,67.335,3794.0,2736.5,5995.0,3110.5,alpha,609.5
ID_000008,32.4,60.29,3482.0,1372.0,2678.0,1614.0,alpha,633.0
ID_000009,31.89,66.71000000000001,5675.0,3743.0,5299.5,3089.5,alpha,605.0
ID_000010,31.785,67.14,4298.5,2815.0,4658.5,2895.0,alpha,605.5
ID_000011,32.95,57.46,3363.0,2121.0,5248.0,3328.0,alpha,597.0
ID_000012,31.82,66.92,3966.0,2822.0,4412.0,2890.0,alpha,607.0
ID_000013,29.676666666666662,72.86666666666666,2465.6666666666665,3573.333333333333,1599.3333333333333,2079.6666666666665,alpha,585.5833333333334
ID_000014,31.92,66.16499999999999,5290.5,3076.0,4925.0,2916.5,alpha,601.0
ID_000015,31.96,62.900000000000006,3389.0,1447.0,3117.5,1411.0,alpha,607.0
ID_000016,32.03,62.78,3408.5,1474.5,3111.0,1485.5,alpha,605.0
ID_000017,31.85,66.91000000000001,4679.666666666667,2917.6666666666665,4771.333333333333,2899.6666666666665,alpha,615.5
ID_000018,32.455,58.88,3577.0,1373.0,2594.5,1669.5,alpha,646.5
ID_000019,31.75,61.895,3143.5,1118.5,5465.5,1214.5,alpha,633.5
ID_000020,31.925,61.52,3515.0,1158.0,6010.0,1201.5,alpha,657.5
ID_000021,32.87,57.64,2687.0,1499.5,4133.0,2670.5,alpha,598.0
ID_000022,31.6,65.82499999999999,3794.0,4873.5,1851.5,3028.0,alpha,587.1666666666666
ID_000023,32.86,58.735,3234.5,2010.5,7324.5,3282.5,alpha,612.0
ID_000024,31.78,58.49,3071.5,1815.5,4832.5,2494.0,alpha,634.5
ID_000025,33.035,58.51,3323.0,2096.0,5591.5,3216.0,alpha,611.0
ID_000026,32.974999999999994,57.48,3438.0,2155.5,5145.0,3368.0,alpha,601.0
ID_000027,31.82,60.16,2801.0,1552.0,4240.0,2704.0,alpha,609.0
ID_000028,31.645,57.815,2840.0,1607.5,4316.0,2728.0,alpha,632.5
ID_000029,32.58,58.98,3158.0,1606.0,4364.0,2637.0,alpha,627.0
ID_000030,33.04,59.1,3383.0,2131.0,6035.0,3260.0,alpha,622.0
ID_000031,32.595,58.855,3237.5,1607.0,4519.0,2662.5,alpha,626.5
ID_000032,31.97,61.650000000000006,2768.0,1518.0,4178.5,2691.0,alpha,599.5
ID_000033,29.92,72.89500000000001,2553.5,3424.5,1382.5,2160.0,alpha,585.0833333333334
ID_000034,31.975,66.205,5595.5,3234.0,4953.5,2947.5,alpha,610.0
ID_000035,31.795,67.44999999999999,3634.0,2804.5,6132.5,3005.0,alpha,598.0
ID_000036,29.965,67.305,9527.0,5602.5,6049.0,5364.5,alpha,595.0
ID_000037,31.7,59.34666666666666,2808.333333333333,1573.0,4285.666666666667,2712.333333333333,alpha,637.5
ID_000038,30.52,66.905,2447.0,3600.0,1669.5,2096.0,alpha,585.4166666666666
ID_000039,31.935,63.165000000000006,3525.5,1463.5,3177.5,1459.5,alpha,607.5
ID_000040,31.875,66.715,5621.5,3642.5,5263.0,3044.0,alpha,609.5
ID_000041,31.51,67.985,3892.5,2832.5,4251.5,2901.5,alpha,618.0
ID_000042,32.105000000000004,60.885000000000005,2741.5,1510.5,4167.0,2662.0,alpha,602.0
ID_000043,32.39,60.38,3449.5,1359.0,2679.0,1602.5,alpha,633.0
ID_000044,33.405,54.045,2632.5,1489.5,4101.5,2669.5,alpha,599.0
ID_000045,32.095,61.38,3243.0,1561.0,2851.5,1464.0,alpha,607.0
ID_000046,31.84,66.845,4814.0,2946.0,4718.0,2902.0,alpha,610.5
ID_000047,32.04,61.23,2780.0,1523.0,4185.0,2687.0,alpha,604.5
ID_000048,32.370000000000005,59.485,3297.5,1438.5,2578.5,1711.5,alpha,617.5
ID_000049,30.69,67.26,2436.0,3452.0,1690.0,2064.0,alpha,585.3333333333334
ID_000050,31.71,67.785,3727.0,2756.0,6138.5,3038.5,alpha,599.0
ID_000051,32.35,59.88,3443.0,1265.0,2571.0,1727.0,alpha,614.0
ID_000052,31.955,63.015,3522.0,1482.5,3155.0,1451.5,alpha,608.0
ID_000053,31.775,67.25,4323.5,2817.5,4673.5,2900.5,alpha,607.0
ID_000054,31.62,58.635,2875.0,1718.0,4559.0,3197.5,alpha,639.0
ID_000055,32.345,60.57,2711.0,1499.0,4142.0,2650.5,alpha,599.0
ID_000056,32.98,58.07,3269.0,2042.0,5792.0,3289.0,alpha,609.5
ID_000057,32.105,64.63,4446.5,5044.5,1936.5,3228.0,alpha,586.1666666666666
ID_000058,32.855000000000004,57.620000000000005,2685.5,1497.5,4134.0,2669.0,alpha,600.0
ID_000059,31.915,61.325,2771.5,1515.0,4183.0,2683.0,alpha,603.0
ID_000060,33.13,58.825,3345.0,2120.5,5613.5,3230.0,alpha,619.0
ID_000061,31.685,57.535,2861.0,1718.0,4727.0,3081.0,alpha,637.5
ID_000062,31.75,67.25999999999999,4335.5,2815.0,4677.0,2893.0,alpha,602.0
ID_000063,31.8,67.54,3707.0,2767.0,6117.0,3037.0,alpha,596.5
ID_000064,32.415,59.985,3465.0,1255.5,2575.0,1733.5,alpha,614.5
ID_000065,32.93,57.33,3375.0,2113.0,5131.0,3303.0,alpha,601.5
ID_000066,31.82,67.16,4410.0,2887.0,4784.0,2899.0,alpha,602.5
ID_000067,31.615,67.745,3862.0,2819.5,4211.0,2922.0,alpha,660.5
ID_000068,31.755,60.61,2795.5,1548.5,4223.0,2694.0,alpha,611.0
ID_000069,32.785,57.94,2694.0,1499.5,4142.0,2672.0,alpha,597.5
ID_000070,32.46,60.54,2709.5,1496.0,4134.5,2652.5,alpha,598.0
ID_000071,33.75,52.645,3627.0,1635.0,4229.0,2687.0,alpha,595.0
ID_000072,31.815,67.195,4501.5,2855.0,4701.5,2888.5,alpha,603.0
ID_000073,32.06,66.05,5532.0,3207.6666666666665,4961.0,2940.6666666666665,alpha,609.0
ID_000074,31.76,60.620000000000005,2797.5,1547.5,4228.5,2695.5,alpha,610.5
ID_000075,29.945,71.67,2474.0,3516.0,1611.5,2088.0,alpha,585.9166666666666
ID_000076,31.82,60.055,2803.0,1557.0,4239.0,2708.0,alpha,611.0
ID_000077,31.8,67.23,4435.0,2873.0,4733.0,2887.0,alpha,606.5
ID_000078,31.615,67.755,3918.0,2827.5,4299.5,2906.5,alpha,614.5
ID_000079,32.75,58.215,3133.0,1723.5,4491.5,2617.0,alpha,628.5
ID_000080,30.18,71.61,2453.0,3491.0,1644.0,2107.0,alpha,583.4166666666666
ID_000081,32.209999999999994,60.745000000000005,3392.0,1512.0,2755.0,1505.5,alpha,614.0
ID_000082,32.459999999999994,59.99,3229.0,1224.5,2559.0,1728.0,alpha,609.0
ID_000083,32.16,61.72,3275.0,1413.5,2966.0,1448.5,alpha,605.0
ID_000084,31.725,61.365,2784.5,1536.0,4201.5,2691.0,alpha,605.0
ID_000085,31.67,62.125,3169.5,1120.5,5544.5,1212.0,alpha,624.0
ID_000086,32.47,58.8,3426.0,1365.5,2597.5,1669.5,alpha,643.5
ID_000087,32.165,61.86,3323.0,1489.5,3005.0,1448.0,alpha,615.0
ID_000088,31.65,62.14,3218.0,1141.0,5573.0,1258.0,alpha,617.5
ID_000089,32.09,62.48,3328.0,1472.0,3033.0,1442.0,alpha,608.5
ID_000090,32.83,58.78,3369.5,2115.0,5420.5,3286.5,alpha,608.0
ID_000091,31.880000000000003,67.03999999999999,4255.0,2762.0,4584.0,2909.0,alpha,623.5
ID_000092,28.47,74.14,4804.0,2632.0,5858.0,2619.0,alpha,604.5
ID_000093,30.78,67.035,2410.0,3436.0,1701.5,2069.5,alpha,583.8333333333334
ID_000094,31.81,67.2,4232.0,2779.0,4576.0,2950.0,alpha,621.0
ID_000095,28.28,75.39,4835.5,2504.5,6443.0,2587.0,alpha,603.5
ID_000096,31.88,61.83,2789.0,1519.5,4189.0,2687.5,alpha,606.5
ID_000097,31.765,59.24,3287.5,1727.5,5007.0,2724.5,alpha,631.5
ID_000098,30.05,72.17,7396.0,7823.0,2151.0,3755.0,alpha,632.0
ID_000099,31.76,67.17500000000001,4593.5,2914.5,4781.5,2903.0,alpha,603.5
ID_000100,32.43,60.0,3607.0,1385.0,2642.5,1667.0,alpha,639.5
ID_000101,32.51,59.405,3632.5,1385.5,2651.5,1666.0,alpha,641.5
ID_000102,30.18,66.76,8811.0,5228.0,6274.0,5181.0,alpha,598.0
ID_000103,29.950000000000003,71.485,2555.0,3325.5,1353.5,2183.0,alpha,584.5833333333334
ID_000104,32.5,60.05,3309.0,1482.0,2741.5,1519.0,alpha,628.5
ID_000105,31.93,66.385,4202.0,2780.5,4567.5,2973.0,alpha,622.0
ID_000106,28.42,74.205,4780.0,2591.0,5996.5,2616.0,alpha,603.0
ID_000107,32.54,60.595,3235.0,1226.5,2521.5,1768.0,alpha,602.0
ID_000108,30.67,67.86,4348.0,5395.0,1750.0,3530.0,alpha,640.25
ID_000109,31.703333333333333,59.473333333333336,2803.6666666666665,1568.6666666666667,4275.333333333333,2708.0,alpha,629.0
ID_000110,33.215,55.89,2662.0,1493.0,4123.0,2685.0,alpha,607.0
ID_000111,31.825,66.885,4713.0,2932.0,4742.0,2915.0,alpha,614.5
ID_000112,31.933333333333334,64.35666666666667,3895.3333333333335,4810.333333333333,1891.0,3142.6666666666665,alpha,587.5833333333334
ID_000113,28.39,75.14,4866.5,2544.0,6230.0,2603.0,alpha,607.5
ID_000114,31.79,67.38,4398.0,2872.0,4745.0,2897.5,alpha,606.0
ID_000115,31.94,66.675,4022.0,2839.0,4512.5,2906.5,alpha,610.0
ID_000116,31.805,59.21,3260.0,1698.5,4979.0,2803.5,alpha,632.0
ID_000117,31.71,57.855,2895.0,1751.5,4624.0,3321.5,alpha,635.5
ID_000118,32.895,57.595,2684.5,1497.5,4133.0,2681.5,alpha,596.5
ID_000119,33.41,54.105,2641.5,1495.0,4110.0,2673.5,alpha,599.0
ID_000120,31.85,67.16499999999999,4232.0,2773.5,4563.0,2952.5,alpha,617.0
ID_000121,33.78,53.38,2634.6666666666665,1664.3333333333333,4973.333333333333,2651.333333333333,alpha,599.5
ID_000122,31.74,67.22,3885.5,2834.5,4186.0,3158.0,alpha,646.0
ID_000123,29.655,71.33500000000001,2452.5,3606.5,1621.5,2091.0,alpha,583.25
ID_000124,31.880000000000003,66.48,5446.0,3379.0,5210.5,2967.0,alpha,617.5
ID_000125,33.34,54.81,3029.0,1311.0,4930.0,2419.0,alpha,598.0
ID_000126,32.59,59.24,2745.0,1522.0,4166.0,2707.5,alpha,599.5
ID_000127,31.965,66.63,4054.0,2778.0,4543.5,2901.0,alpha,610.5
ID_000128,32.43,60.36,3463.0,1380.0,2669.0,1631.0,alpha,634.0
ID_000129,28.33,75.24,4842.0,2545.0,6272.0,2605.0,alpha,602.0
ID_000130,32.01,62.68,3365.5,1455.5,3087.0,1454.5,alpha,606.5
ID_000131,28.25,75.3,4823.5,2549.5,6219.5,2589.0,alpha,605.5
ID_000132,31.75,61.715,3146.5,1122.5,5478.0,1211.0,alpha,631.5
